
matrixupdate 2.174093 matrix 2.160631, up: 3.801183, left 7.363250, right 0.529690, downright 2.623201, down 1.127987, downleft 0.526136

matrixupdate 2.187538 matrix 2.174093, up: 3.818592, left 7.382192, right 0.535132, downright 2.639559, down 1.138268, downleft 0.531901

matrixupdate 2.200963 matrix 2.187538, up: 3.835941, left 7.401033, right 0.540588, downright 2.655889, down 1.148562, downleft 0.537687

matrixupdate 2.214370 matrix 2.200963, up: 3.853230, left 7.419776, right 0.546060, downright 2.672190, down 1.158869, downleft 0.543493

matrixupdate 2.227758 matrix 2.214370, up: 3.870459, left 7.438419, right 0.551546, downright 2.688462, down 1.169187, downleft 0.549319

matrixupdate 2.241128 matrix 2.227758, up: 3.887629, left 7.456965, right 0.557047, downright 2.704705, down 1.179518, downleft 0.555166

matrixupdate 2.254478 matrix 2.241128, up: 3.904740, left 7.475414, right 0.562562, downright 2.720918, down 1.189861, downleft 0.561032

matrixupdate 2.267808 matrix 2.254478, up: 3.921792, left 7.493767, right 0.568091, downright 2.737103, down 1.200214, downleft 0.566918

matrixupdate 2.281120 matrix 2.267808, up: 3.938785, left 7.512024, right 0.573634, downright 2.753257, down 1.210579, downleft 0.572823

matrixupdate 2.294412 matrix 2.281120, up: 3.955720, left 7.530187, right 0.579191, downright 2.769382, down 1.220954, downleft 0.578748

matrixupdate 2.307684 matrix 2.294412, up: 3.972597, left 7.548255, right 0.584761, downright 2.785476, down 1.231339, downleft 0.584691

matrixupdate 2.320936 matrix 2.307684, up: 3.989415, left 7.566231, right 0.590345, downright 2.801541, down 1.241734, downleft 0.590654

matrixupdate 2.334169 matrix 2.320936, up: 4.006176, left 7.584115, right 0.595942, downright 2.817575, down 1.252139, downleft 0.596635

